السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت
2023,1,المنطقة الشرقية,أبحاث الإعلان والسوق,689,214,7,3,913
2023,1,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,901,94,13,3,1011
2023,1,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,918,308,70,18,1314
2023,1,المنطقة الشرقية,الاتصالات,98,27,2,0,127
2023,1,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,82,17,1,2,102
2023,1,المنطقة الشرقية,الإقامة,324,270,35,1,630
2023,1,المنطقة الشرقية,الأنشطة الإبداعية والفنون وأنشطة الترفيه,30,2,0,0,32
2023,1,المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,96,56,11,3,166
2023,1,المنطقة الشرقية,"الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال",788,136,14,2,940
2023,1,المنطقة الشرقية,الأنشطة الإيجارية,1964,321,39,10,2334
2023,1,المنطقة الشرقية,الأنشطة البيطرية,50,13,0,0,63
2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,319,145,8,0,472
2023,1,المنطقة الشرقية,الأنشطة العقارية,732,217,18,2,969
2023,1,المنطقة الشرقية,الأنشطة القانونية وأنشطة المحاسبة,301,126,9,0,436
2023,1,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,40,31,5,1,77
2023,1,المنطقة الشرقية,الأنشطة المهنية والعلمية والتقنية الأخرى,229,34,0,1,264
2023,1,المنطقة الشرقية,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,2,1,0,0,3
2023,1,المنطقة الشرقية,البحث والتطوير في المجال العلمي,18,6,2,0,26
2023,1,المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,733,346,58,13,1150
2023,1,المنطقة الشرقية,التعليم,371,304,95,14,784
2023,1,المنطقة الشرقية,الحراجة وقطع الأخشاب,4,0,0,0,4
2023,1,المنطقة الشرقية,الرعاية مع الإقامة,2,14,1,0,17
2023,1,المنطقة الشرقية,الصحة البشرية,206,341,108,32,687
2023,1,المنطقة الشرقية,الصرف الصحي,33,19,4,3,59
2023,1,المنطقة الشرقية,الصناعة التحويلية الأخرى,102,85,24,6,217
2023,1,المنطقة الشرقية,الطباعة واستنساخ وسائط الأعلام المسجّلة,89,55,3,1,148
2023,1,المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,2016,822,218,51,3107
2023,1,المنطقة الشرقية,النقل الجوي,61,16,0,0,77
2023,1,المنطقة الشرقية,النقل المائي,47,28,13,0,88
2023,1,المنطقة الشرقية,الهندسة المدنية,566,439,180,98,1283
2023,1,المنطقة الشرقية,أنشطة الاستخدام,291,49,11,21,372
2023,1,المنطقة الشرقية,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,6,1,0,0,7
2023,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,53,23,16,8,100
2023,1,المنطقة الشرقية,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,292,108,11,2,413
2023,1,المنطقة الشرقية,أنشطة البرمجة والإذاعة,11,3,0,0,14
2023,1,المنطقة الشرقية,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,26,10,2,1,39
